Fichier          Welzl(nanosecondes)    Naif(nanosecondes)
test-336.points      372100                 208433500
test-337.points      1361600                 173829600
test-338.points      985300                 179235600
test-339.points      1969300                 216715600
test-34.points      1214300                 191433300
test-340.points      227600                 220231800
test-341.points      865100                 176235300
test-342.points      855000                 219472100
test-343.points      855800                 218170300
test-344.points      1327500                 191865900
test-345.points      802200                 197509700
test-346.points      925900                 205364200
test-347.points      617100                 175764900
test-348.points      748400                 207795700
test-349.points      895300                 197863800
test-35.points      844500                 165470700
test-350.points      516000                 179922500
test-351.points      711100                 200943200
test-352.points      916300                 219764100
test-353.points      281800                 211305000
test-354.points      573200                 222426500
test-355.points      731600                 172703800
test-356.points      762300                 180039600
test-357.points      467000                 194299100
test-358.points      1176200                 240088100
test-359.points      917100                 224764900
test-36.points      669200                 235003100
test-360.points      1068700                 194304700
test-361.points      667000                 228122800
test-362.points      529300                 257742900
test-363.points      734000                 180292600
test-364.points      839300                 171452200
test-365.points      1179400                 173771100
test-366.points      633500                 185429200
test-367.points      1009600                 160367500
test-368.points      593700                 210860000
test-369.points      1011200                 209168200
test-37.points      1047100                 240759800
test-370.points      708800                 184022500
test-371.points      812700                 164070200
test-372.points      479400                 210845500
test-373.points      222600                 236331400
test-374.points      424300                 267520700
test-375.points      1002200                 165929000
test-376.points      327800                 224672200
test-377.points      517400                 201724100
test-378.points      729500                 217802400
test-379.points      533100                 256551500
test-38.points      1135600                 238639200
test-380.points      608000                 282232900
test-381.points      902800                 173413100
test-382.points      634600                 189045800
test-383.points      719300                 205024800
test-384.points      1028200                 189263200
test-385.points      816300                 113139300
test-386.points      366800                 187086300
test-387.points      905000                 133367600
test-388.points      620400                 189334100
test-389.points      457700                 161563600
test-39.points      1306200                 150916100
test-390.points      212900                 95180600
test-391.points      432400                 69843000
test-392.points      210600                 85546500
test-393.points      476600                 152826800
test-394.points      586800                 137967400
test-395.points      263800                 211788200
test-396.points      765000                 208325300
test-397.points      1247300                 189376000
test-398.points      962300                 193875800
test-399.points      814400                 202227700
test-4.points      853500                 261384100
test-40.points      885300                 258790600
test-400.points      982900                 233825400
test-401.points      1933100                 225301100
test-402.points      625200                 189984600
test-403.points      363500                 184101600
test-404.points      916800                 214237300
test-405.points      875000                 207802800
test-406.points      1384400                 210347300
test-407.points      1370300                 212695800
test-408.points      1313000                 228114900
test-409.points      1000900                 200467000
test-41.points      1027700                 197212100
test-410.points      1434100                 186549900
test-411.points      1197300                 176072400
test-412.points      986100                 199692900
test-413.points      1105700                 187416600
test-414.points      782000                 241163900
test-415.points      1220800                 195425500
test-416.points      427700                 224693200
test-417.points      373200                 200198800
test-418.points      1510400                 191632400
test-419.points      921200                 217501800
test-42.points      1224500                 204178100
test-420.points      2042600                 197425600
test-421.points      773900                 229971400
test-422.points      632800                 229085000
test-423.points      596800                 189391100
test-424.points      432500                 232015300
test-425.points      782600                 180073000
test-426.points      1310400                 238691500
test-427.points      514200                 197346000
test-428.points      664000                 168857000
test-429.points      1469200                 206487600
test-43.points      704300                 184828500
test-430.points      728200                 168995000
test-431.points      618300                 228906100
test-432.points      1486000                 1045300
test-433.points      1063500                 183584900
test-434.points      1207900                 299465600
test-435.points      415300                 204899400
test-436.points      1066900                 682000
test-437.points      623800                 179934600
test-438.points      1455800                 181889500
test-439.points      484200                 189502100
test-44.points      912000                 201004900
test-440.points      839900                 210257400
test-441.points      783800                 185669100
test-442.points      1129900                 223522000
test-443.points      346600                 226970900
test-444.points      268400                 225180700
test-445.points      1314300                 207376000
test-446.points      1016800                 234677100
test-447.points      1168100                 170254100
test-448.points      822300                 188547700
test-449.points      706300                 239875200
test-45.points      867000                 210208800
test-450.points      538700                 186780400
test-451.points      692400                 208747700
test-452.points      839900                 230847200
test-453.points      734300                 245801800
test-454.points      4480400                 205889600
test-455.points      1653900                 202013000
test-456.points      2069800                 251616000
test-457.points      925500                 182492100
test-458.points      824600                 242133500
test-459.points      935100                 186800
test-46.points      1408800                 289407700
test-460.points      565400                 173031500
test-461.points      685000                 215382100
test-462.points      1299200                 213592100
test-463.points      1026800                 256902200
test-464.points      1219100                 171798700
test-465.points      923500                 191469600
test-466.points      778400                 219546500
test-467.points      755600                 195226600
test-468.points      1612100                 241646800
test-469.points      1046300                 226332400
test-47.points      920900                 229520600
test-470.points      466000                 257985400
test-471.points      577000                 202434000
test-472.points      555400                 248239300
test-473.points      832900                 213540500
test-474.points      1281900                 232560200
test-475.points      739500                 238704600
test-476.points      1715400                 211185500
test-477.points      1379500                 192871700
test-478.points      600400                 192290600
test-479.points      1737000                 231861400
test-48.points      938900                 231562800
test-480.points      366400                 230650300
test-481.points      860400                 204393300
test-482.points      461200                 180004100
test-483.points      932400                 231520400
test-484.points      779400                 207276900
test-485.points      2024500                 224598000
test-486.points      2036600                 258285100
test-487.points      940300                 216470500
test-488.points      1355700                 226098200
test-489.points      1177500                 172018200
test-49.points      770900                 184794900
test-490.points      1045900                 216534300
test-491.points      404300                 189467800
test-492.points      788300                 235942500
test-493.points      947600                 168553400
test-494.points      415600                 215840200
test-495.points      1109500                 175611000
test-496.points      624000                 224237300
test-497.points      465200                 183949100
test-498.points      1282700                 198072700
test-499.points      665500                 169626800
test-5.points      901800                 196754200
test-50.points      749400                 235454000
test-500.points      596800                 194233200
test-501.points      955000                 257235500
test-502.points      1719500                 166046800
test-503.points      1502600                 226605800
test-504.points      1976300                 228397800
test-505.points      1193700                 204131700
test-506.points      1095300                 215190300
test-507.points      715500                 218267600
test-508.points      831200                 171514800
test-509.points      1491600                 244298200
test-51.points      1038000                 217524100
test-510.points      989900                 173836800
test-511.points      963400                 179247900
test-512.points      523600                 242669600
test-513.points      977200                 167835200
test-514.points      633500                 196517200
test-515.points      1162800                 205080800
test-516.points      513700                 219963200
test-517.points      856100                 197726900
test-518.points      1084800                 195988300
test-519.points      826300                 208166800
test-52.points      1429400                 178166700
test-520.points      1248900                 246307800
test-521.points      652800                 201249100
test-522.points      912700                 213909800
test-523.points      973800                 232612100
test-524.points      627300                 312500
test-525.points      952600                 212492200
test-526.points      568400                 176315800
test-527.points      461700                 219127800
test-528.points      942800                 195988200
test-529.points      609300                 217321200
test-53.points      707500                 161483100
test-530.points      1079300                 845400
test-531.points      1155800                 198403300
test-532.points      880000                 227124200
test-533.points      524400                 197433200
test-534.points      1327400                 218369100
test-535.points      797000                 201638500
test-536.points      817900                 188072700
test-537.points      716800                 230805700
test-538.points      1292700                 187838500
test-539.points      976600                 259502500
test-54.points      1102900                 172544700
test-540.points      1439400                 213175300
test-541.points      1179600                 175161700
test-542.points      388100                 200787900
test-543.points      1023000                 239640600
test-544.points      480300                 208207200
test-545.points      537500                 208870000
test-546.points      1016300                 219336800
test-547.points      1284300                 199979000
test-548.points      1036900                 185726800
test-549.points      1189100                 246335700
test-55.points      781500                 167850700
test-550.points      671500                 190318800
test-551.points      869400                 220695400
test-552.points      625800                 238445300
test-553.points      965200                 199983000
test-554.points      1243400                 264565400
test-555.points      635100                 222802200
test-556.points      918500                 218353200
test-557.points      1480400                 214677600
test-558.points      923900                 122808000
test-559.points      511100                 121124400
test-56.points      586800                 265422200
test-560.points      1214800                 205486200
test-561.points      1418600                 200846900
test-562.points      872300                 199901500
test-563.points      367100                 177630800
test-564.points      690800                 174869800
test-565.points      580500                 241645400
test-566.points      549800                 209083900
test-567.points      597500                 242600400
test-568.points      842500                 180020100
test-569.points      956000                 202897600
test-57.points      683100                 192704300
test-570.points      1564200                 254133700
test-571.points      452800                 159820100
test-572.points      715000                 178571700
test-573.points      1046700                 222295500
test-574.points      1365300                 198341400
test-575.points      239200                 228548500
test-576.points      907500                 229942700
test-577.points      422000                 228031400
test-578.points      787200                 168316900
test-579.points      660600                 179721600
test-58.points      637700                 220855200
test-580.points      1022400                 247701600
test-581.points      535700                 231198100
test-582.points      575000                 189580100
test-583.points      336500                 216285600
test-584.points      893600                 181540700
test-585.points      758500                 234899000
test-586.points      499400                 235586700
test-587.points      284100                 233026500
test-588.points      768800                 232676000
test-589.points      767900                 227857900
test-59.points      274700                 244825400
test-590.points      680200                 207018100
test-591.points      1227000                 201956300
test-592.points      1150300                 248761700
test-593.points      1298000                 190183500
test-594.points      4698600                 181636500
test-595.points      413200                 222108000
test-596.points      519600                 241840100
test-597.points      830500                 218818000
test-598.points      1362000                 692100
test-599.points      964000                 247299900
test-6.points      780800                 992300
test-60.points      1059700                 188409200
test-600.points      560500                 198036500
test-601.points      1254400                 176459400
test-602.points      924600                 269500000
test-603.points      1025300                 167860100
test-604.points      656100                 200827300
test-605.points      861200                 193540700
test-606.points      585400                 208168700
test-607.points      2080200                 220221100
test-608.points      1327200                 188710200
test-609.points      174000                 219068100
test-61.points      1307000                 196201700
test-610.points      1228800                 207068600
test-611.points      1356000                 164168700
test-612.points      1913700                 178999700
test-613.points      1456700                 202394900
test-614.points      1129700                 228172400
test-615.points      959600                 173315700
test-616.points      811500                 242214900
test-617.points      966400                 113800
test-618.points      856100                 217905600
test-619.points      298000                 177586400
test-62.points      1331200                 341700
test-620.points      759000                 227359800
test-621.points      1232100                 208412800
test-622.points      1232800                 192403500
test-623.points      1417700                 235601700
test-624.points      464500                 213623100
test-625.points      1303300                 192927900
test-626.points      1092000                 186248100
test-627.points      1696500                 171922800
test-628.points      1222300                 179338800
test-629.points      1184600                 225958000
test-63.points      726400                 208392700
test-630.points      1502400                 197098800
test-631.points      1364700                 173963900
test-632.points      377900                 259549800
test-633.points      361900                 170675600
test-634.points      338600                 208210800
test-635.points      894400                 228327800
test-636.points      268100                 257818200
test-637.points      999000                 205914400
test-638.points      705300                 199443600
test-639.points      871100                 217028000
test-64.points      692400                 180826300
test-640.points      888000                 206726300
test-641.points      819300                 198744100
test-642.points      650200                 186397900
test-643.points      1243100                 193477500
test-644.points      967600                 192937100
test-645.points      1696500                 156471900
test-646.points      642000                 93572800
test-647.points      531700                 200750500
test-648.points      783400                 180738100
test-649.points      377100                 1241900
test-65.points      405100                 178929600
test-650.points      830400                 157539400
test-651.points      871700                 266102700
test-652.points      543400                 204286200
test-653.points      1116100                 199222000
test-654.points      536700                 228928100
test-655.points      1186300                 194991000
test-656.points      923500                 225251800
test-657.points      697400                 192701800
test-658.points      1530400                 155716900
test-659.points      574000                 175985300
test-66.points      587900                 249943200
test-660.points      248300                 212855300
test-661.points      454000                 177603900
test-662.points      304900                 198674200
test-663.points      481400                 214185600
test-664.points      654100                 202179600
test-665.points      1201300                 165345600
test-666.points      349700                 79411900
test-667.points      649500                 93542900
test-668.points      896200                 119182400
test-669.points      411100                 96049400
test-67.points      1509200                 165363800
test-670.points      714700                 206621100
test-671.points      855000                 129524800
test-672.points      292500                 78043200
test-673.points      265100                 98001800
test-674.points      716900                 168409900
test-675.points      1205600                 173736100
test-676.points      543300                 184150300
test-677.points      395700                 89014700
test-678.points      606300                 166336600
test-679.points      416400                 143757200
test-68.points      679400                 61000
test-680.points      438400                 198005500
test-681.points      448500                 205908300
test-682.points      175600                 189900
test-683.points      613600                 155538300
test-684.points      815100                 224925800
test-685.points      1498800                 210139800
test-686.points      643800                 182979900
test-687.points      645500                 203259600
test-688.points      394900                 166346600
test-689.points      433500                 133144400
test-69.points      546900                 118990900
test-690.points      266400                 123649800
test-691.points      1011200                 203716300
test-692.points      1205200                 203309500
test-693.points      1194800                 235774100
test-694.points      1277200                 205148400
test-695.points      273200                 184788200
test-696.points      1337100                 236132600
test-697.points      327300                 200465800
test-698.points      799000                 178177700
test-699.points      361800                 163646300
test-7.points      1146600                 221130100
test-70.points      871800                 240408900
test-700.points      1535500                 218479400
test-701.points      692500                 236651500
test-702.points      1587200                 174850000
test-703.points      480300                 196498600
test-704.points      811900                 205851600
test-705.points      909700                 242656500
test-706.points      936900                 201486100
test-707.points      869000                 91484200
test-708.points      419700                 79704900
test-709.points      631800                 85961400
test-71.points      178400                 99902500
test-710.points      318300                 71550600
test-711.points      437100                 106321900
test-712.points      794400                 203112400
test-713.points      563700                 204414400
test-714.points      345300                 212998700
test-715.points      390900                 222925800
test-716.points      1049000                 190022400
test-717.points      311300                 149475400
test-718.points      1090300                 171032600
test-719.points      744200                 205382800
test-72.points      363800                 194834700
test-720.points      787000                 199889100
test-721.points      526000                 123636100
test-722.points      640600                 132292500
test-723.points      342000                 157878800
test-724.points      488500                 189982200
test-725.points      986000                 540600
test-726.points      924500                 210824200
test-727.points      960200                 210351400
test-728.points      1129800                 127768500
test-729.points      240600                 86627000
test-73.points      323400                 101754400
test-730.points      153900                 76029800
test-731.points      228800                 158043800
test-732.points      364100                 209511600
test-733.points      845600                 206512700
test-734.points      626000                 192248200
test-735.points      1260000                 213072700
test-736.points      4738000                 187719800
test-737.points      1255100                 177878700
test-738.points      1619600                 198525700
test-739.points      1514800                 203878200
test-74.points      466700                 178340400
test-740.points      1059800                 180584700
test-741.points      938400                 234988500
test-742.points      1336700                 212138800
test-743.points      970900                 260537500
test-744.points      364400                 164024200
test-745.points      782700                 203385700
test-746.points      483700                 113200
test-747.points      1939100                 243302300
test-748.points      547400                 240185900
test-749.points      1553500                 213467900
test-75.points      1593300                 198034100
test-750.points      921000                 168751900
test-751.points      590300                 217230200
test-752.points      767200                 179248400
test-753.points      1439900                 165765400
test-754.points      394800                 189415000
test-755.points      975300                 228682300
test-756.points      379900                 206449300
test-757.points      583100                 161459600
test-758.points      363600                 195381700
test-759.points      947600                 227646800
test-76.points      598500                 237288300
test-760.points      1280600                 235121100
test-761.points      488000                 190958900
test-762.points      1751300                 200551100
test-763.points      1066500                 168158200
test-764.points      788300                 193152100
test-765.points      457300                 187831900
test-766.points      1296200                 241044800
test-767.points      568800                 188366100
test-768.points      754900                 178192600
test-769.points      1146300                 188154700
test-77.points      305600                 200070700
test-770.points      961200                 165032900
test-771.points      590200                 206767900
test-772.points      340300                 247990400
test-773.points      1227900                 315500
test-774.points      897800                 227884700
test-775.points      857800                 198638700
test-776.points      538800                 241700900
test-777.points      855200                 187409400
test-778.points      576900                 178341400
test-779.points      943000                 190553000
test-78.points      513200                 222856100
test-780.points      1089600                 197419800
test-781.points      665700                 723900
test-782.points      905300                 172537900
test-783.points      929200                 258038600
test-784.points      430500                 202647700
test-785.points      693600                 282738300
test-786.points      324500                 204322700
test-787.points      237100                 164085000
test-788.points      635600                 209646700
test-789.points      518100                 183302300
test-79.points      935500                 226541000
test-790.points      474200                 104951400
test-791.points      459800                 76630900
test-792.points      428200                 69834700
test-793.points      577900                 75737700
test-794.points      321800                 94176700
test-795.points      147200                 580600
test-796.points      255300                 147370300
test-797.points      842200                 246103600
test-798.points      306900                 209776100
test-799.points      936100                 197509900
test-8.points      445600                 133233300
test-80.points      642200                 15000
test-800.points      464500                 141393000
test-801.points      722000                 238633700
test-802.points      1020300                 168417700
test-803.points      681500                 184704600
test-804.points      586000                 223168800
test-805.points      650800                 171104500
test-806.points      490300                 146116900
test-807.points      581100                 172968600
test-808.points      401800                 166715400
test-809.points      825400                 235947500
test-81.points      388100                 145484700
test-810.points      626800                 77517400
test-811.points      461200                 100553900
test-812.points      486100                 105705500
test-813.points      314000                 174940200
test-814.points      680500                 212025400
test-815.points      658900                 209969300
test-816.points      797100                 197090200
test-817.points      923000                 192834800
test-818.points      928800                 227286600
test-819.points      432900                 183077600
test-82.points      1197100                 243778100
test-820.points      684300                 191304600
test-821.points      502700                 197156900
test-822.points      1040700                 192324800
test-823.points      1113000                 172438000
test-824.points      1148500                 170495400
test-825.points      155800                 87480500
test-826.points      177400                 191862200
test-827.points      1183100                 189255600
test-828.points      511900                 174189200
test-829.points      699100                 239635000
test-83.points      1227200                 169392800
test-830.points      438100                 181028300
test-831.points      731500                 237608700
test-832.points      651400                 186936000
test-833.points      1065600                 218365800
test-834.points      1314700                 182065200
test-835.points      230000                 201263600
test-836.points      745000                 179170600
test-837.points      1699900                 243653800
test-838.points      623500                 223567300
test-839.points      972200                 255726900
test-84.points      966800                 212066700
test-840.points      778000                 216822000
test-841.points      941600                 236991900
test-842.points      620800                 176668700
test-843.points      397000                 257368300
test-844.points      702400                 193047200
test-845.points      326300                 189571100
test-846.points      1037000                 198945000
test-847.points      1230700                 202188400
test-848.points      852000                 215352400
test-849.points      633300                 235247800
test-85.points      838200                 211670300
test-850.points      364000                 169870200
test-851.points      928700                 197337300
test-852.points      309500                 175951300
test-853.points      566400                 214068600
test-854.points      312100                 169816000
test-855.points      956000                 184939400
test-856.points      513400                 197275700
test-857.points      519300                 172688500
test-858.points      621400                 203287100
test-859.points      691300                 167982700
test-86.points      1229400                 199467000
test-860.points      744700                 234776400
test-861.points      1006300                 228066900
test-862.points      539800                 173080100
test-863.points      1472000                 201352700
test-864.points      1070300                 170782400
test-865.points      901400                 183151400
test-866.points      432500                 265492700
test-867.points      1044500                 226338400
test-868.points      590800                 189267800
test-869.points      884200                 369300
test-87.points      867400                 259039500
test-870.points      1571800                 251857500
test-871.points      474700                 196752700
test-872.points      637500                 188894700
test-873.points      640800                 240992400
test-874.points      1045100                 203415600
test-875.points      805000                 224788400
test-876.points      671000                 180619900
test-877.points      1199000                 234818000
test-878.points      1082500                 204246400
test-879.points      390600                 226703300
test-88.points      878400                 251217800
test-880.points      858400                 177191500
test-881.points      706500                 163385800
test-882.points      501400                 197232200
test-883.points      586100                 169434000
test-884.points      617100                 186624300
test-885.points      4511300                 228669900
test-886.points      874200                 197543700
test-887.points      390800                 212373200
test-888.points      1026400                 167625800
test-889.points      764200                 189829200
test-89.points      1017400                 348772000
test-890.points      2332100                 265084100
test-891.points      1685900                 238493000
test-892.points      942300                 225736700
test-893.points      530100                 224302100
test-894.points      686800                 187394900
test-895.points      1125700                 181624900
test-896.points      420600                 248368800
test-897.points      1278100                 165092500
test-898.points      1130100                 231405900
test-899.points      1092500                 200979400
test-9.points      256200                 209953300
test-90.points      796700                 184945500
test-900.points      1528600                 203858900
test-901.points      1436800                 211953600
test-902.points      851300                 203419800
test-903.points      713100                 221171000
test-904.points      597600                 249037400
test-905.points      1497500                 201619800
test-906.points      439700                 194549200
test-907.points      1144200                 253848400
test-908.points      868000                 197400000
test-909.points      1674400                 209512200
test-91.points      259300                 195745600
test-910.points      661300                 201578800
test-911.points      914500                 210560500
test-912.points      400600                 201613200
test-913.points      728500                 238335200
test-914.points      783400                 205041800
test-915.points      819000                 253567500
test-916.points      1688100                 204346900
test-917.points      851400                 211392700
test-918.points      1120200                 249320600
test-919.points      500600                 201335300
test-92.points      794000                 249549200
test-920.points      841900                 190633300
test-921.points      346600                 220087100
test-922.points      968000                 238814700
test-923.points      975700                 216647800
test-924.points      639000                 197062600
test-925.points      482600                 200576100
test-926.points      764300                 206027100
test-927.points      839600                 198040700
test-928.points      666000                 205419200
test-929.points      930300                 194378500
test-93.points      730200                 214599000
test-930.points      752900                 179601400
test-931.points      1817900                 236928700
test-932.points      1110300                 223784000
test-933.points      558400                 217253200
test-934.points      601600                 217661600
test-935.points      1458300                 177795700
test-936.points      548400                 178031200
test-937.points      828700                 209436200
test-938.points      368200                 214630100
test-939.points      372900                 167130000
test-94.points      1062900                 169722200
test-940.points      817900                 218587900
test-941.points      588400                 172010400
test-942.points      1128300                 192623000
test-943.points      501200                 219729200
test-944.points      699800                 202700100
test-945.points      800700                 175275700
test-946.points      486600                 168627600
test-947.points      483400                 176389800
test-948.points      1419400                 196193500
test-949.points      833400                 171289200
test-95.points      740000                 264238800
test-950.points      1045900                 193236900
test-951.points      372700                 232065600
test-952.points      748500                 219050600
test-953.points      879300                 249805100
test-954.points      420400                 187637000
test-955.points      612700                 213592800
test-956.points      1084200                 192376100
test-957.points      1235400                 177853900
test-958.points      622500                 223989900
test-959.points      647900                 169059300
test-96.points      389000                 189161500
test-960.points      904200                 199048000
test-961.points      1049200                 259709400
test-962.points      561400                 189639300
test-963.points      968900                 206975600
test-964.points      777500                 190845900
test-965.points      1060200                 187647100
test-966.points      1369800                 182625400
test-967.points      504500                 172452800
test-968.points      1438500                 202295300
test-969.points      1293500                 266795900
test-97.points      844800                 184145800
test-970.points      856500                 222067900
test-971.points      884400                 188259800
test-972.points      1391800                 213461200
test-973.points      1031800                 197406000
test-974.points      655700                 184116400
test-975.points      766500                 191602500
test-976.points      207400                 223693700
test-977.points      594300                 214616000
test-978.points      372300                 242957400
test-979.points      668000                 230002600
test-98.points      893000                 168069600
test-980.points      1285100                 206277400
test-981.points      489000                 151529400
test-982.points      1257200                 256497400
test-983.points      869200                 167853400
test-984.points      758400                 176473200
test-985.points      729600                 1834700
test-986.points      900600                 221138000
test-987.points      653100                 199017600
test-988.points      1077500                 520800
test-989.points      740300                 225927800
test-99.points      1230100                 214058200
test-990.points      1305000                 211179600
test-991.points      1177200                 177636800
test-992.points      1438100                 302944600
test-993.points      359700                 245618700
test-994.points      1528300                 218205300
test-995.points      419700                 226924400
test-996.points      1360900                 254424200
test-997.points      1578500                 193383700
test-998.points      1018400                 241338300
test-999.points      434600                 203523000
